Identificador_Identifier;Tipo_Type;Latitud_Latitude;Longitud_Longitude;ExactitudHorizontal_HorzAccuracy;NivelConfHoriz_HorzConfLevel;ResolucionHoriz_HorzResolution;SistRefHorizontal_HorzRefSyst;Elevacion_Elevation;ExactitudVertical_VertAccuracy;NivelConfVertical_VertConfLevel;ResolucionVert_VertResolution;SistRefVertical_VertRefSyst;Altura_Height;UnidadMedida_UOM;IdOriginador_OriginatorId;IdFuente_SourceId;TipoMedicion_MeasurementType;FechaMedicion_MeasurementDate;Señalizado_Marking;Iluminado_Lighting;Frangible_Frangibility;TipoGeometria_GeometryType;Integridad_Integrity;NotaIntegridad_IntegrityRemark;AMDT;PUB;WEF;GFID
LECO-OBS-00193-001-2015;Cota/Natural Highpoint;431434.1012N;0082612.8041W;0.2;95;0.001;WGE;432.275;0.2;95;0.001;MSL;0;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;C768699B-D156-4CF6-976F-5AA9F4D6F95A
LECO-OBS-00190-001-2015;Vegetación/Vegetation;431425.9135N;0082607.1293W;0.2;95;0.001;WGE;426.462;0.2;95;0.001;MSL;20.976;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;68E40D47-1878-4ACF-AD5B-2ADB0195A9D9
LECO-OBS-00191-001-2015;Cota/Natural Highpoint;431438.9966N;0082614.9538W;0.2;95;0.001;WGE;426.025;0.2;95;0.001;MSL;0;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;8DAA2580-6094-43EF-A01A-77084BA1FBB2
LECO-OBS-00192-001-2015;Cota/Natural Highpoint;431524.2256N;0082219.0851W;0.2;95;0.001;WGE;197.71;0.2;95;0.001;MSL;0;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;10869042-B9B1-47E2-B440-773812E46A0F
LECO-OBS-00194-001-2015;Vegetación/Vegetation;431431.5543N;0082557.2420W;0.2;95;0.001;WGE;340.989;0.2;95;0.001;MSL;18.557;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;30449ECC-D72E-4245-A4F2-2F7B68596957
LECO-OBS-00195-001-2015;Árbol/Tree;431434.8338N;0082555.8799W;0.2;95;0.001;WGE;334.317;0.2;95;0.001;MSL;3.008;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;1E6CEE28-7E56-4D07-9891-B7872C89ED1E
LECO-OBS-00196-001-2015;Cota/Natural Highpoint;431438.7979N;0082553.6017W;0.2;95;0.001;WGE;339.489;0.2;95;0.001;MSL;0;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;41D6EAC7-7093-421C-982F-FD66C30DEFD5
LECO-OBS-00198-001-2015;Árbol/Tree;431416.2646N;0082606.4244W;0.2;95;0.001;WGE;394.224;0.2;95;0.001;MSL;31.805;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;F6F71D51-114B-492E-876C-4FA8791CF01F
LECO-OBS-00199-001-2015;Cota/Natural Highpoint;431335.5551N;0082516.5972W;0.2;95;0.001;WGE;516.834;0.2;95;0.001;MSL;0;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;9896D361-2B21-4DF4-BB41-26085F305F0D
LECO-OBS-00200-001-2015;Vegetación/Vegetation;431337.4221N;0082516.6792W;0.2;95;0.001;WGE;522.864;0.2;95;0.001;MSL;12.422;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;704A178E-44BC-4382-8C5F-848F2865FB20
LECO-OBS-00202-001-2015;Árbol/Tree;431334.4976N;0082538.2641W;0.2;95;0.001;WGE;513.765;0.2;95;0.001;MSL;5.619;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;295F4A05-ADE5-498A-84A0-D385DFA125EB
LECO-OBS-00203-001-2015;Árbol/Tree;431337.7733N;0082540.4764W;0.2;95;0.001;WGE;508.18;0.2;95;0.001;MSL;13.181;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;78B8AB19-7ACE-433E-A400-4BA3244B1E2D
LECO-OBS-00204-001-2015;Árbol/Tree;431338.0311N;0082534.8304W;0.2;95;0.001;WGE;508.664;0.2;95;0.001;MSL;15.502;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;A1501FC3-F11D-42B2-BE79-6894BFFA08EC
LECO-OBS-00205-001-2015;Cota/Natural Highpoint;431327.4002N;0082542.6234W;0.2;95;0.001;WGE;512.34;0.2;95;0.001;MSL;0;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;3432AD40-2EA9-4240-B164-794F0A8AE753
LECO-OBS-00206-001-2015;Árbol/Tree;431331.1042N;0082545.7357W;0.2;95;0.001;WGE;517.356;0.2;95;0.001;MSL;8.077;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;1CBE95E6-BD3C-4E0F-919F-42E4B2D65618
LECO-OBS-00207-001-2015;Vegetación/Vegetation;431338.2216N;0082548.8725W;0.2;95;0.001;WGE;507.296;0.2;95;0.001;MSL;18.544;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;958BFB79-0088-4F39-93DC-53CAB2237738
LECO-OBS-00208-001-2015;Cota/Natural Highpoint;431354.4094N;0082607.3976W;0.008;95;0.001;WGE;396.471;0.012;95;0.001;MSL;0;m;AENA;CONSULTOP;GPS;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;3894100A-5FEA-4EDB-99C0-028D420D4269
LECO-OBS-00209-001-2015;Vegetación/Vegetation;431229.1767N;0082816.5267W;0.2;95;0.001;WGE;386.064;0.2;95;0.001;MSL;21.342;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;B38D20F9-0BB9-4DC4-8823-68CEFC761655
LECO-OBS-00210-001-2015;Vegetación/Vegetation;431225.4291N;0082822.3778W;0.2;95;0.001;WGE;377.517;0.2;95;0.001;MSL;31.027;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;9B78CA62-1327-4AD3-97E5-12C70BBECF3B
LECO-OBS-00211-001-2015;Vegetación/Vegetation;431220.6914N;0082830.1094W;0.2;95;0.001;WGE;402.983;0.2;95;0.001;MSL;38.016;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;EA10310C-8139-4F00-9224-8FBEB0A500DF
LECO-OBS-00212-001-2015;Vegetación/Vegetation;431217.1940N;0082830.2551W;0.2;95;0.001;WGE;408.125;0.2;95;0.001;MSL;28.194;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;2D8AFA8A-4615-44C6-96AB-7C89917FB303
LECO-OBS-00213-001-2015;Vegetación/Vegetation;431216.6527N;0082826.7572W;0.2;95;0.001;WGE;399.69;0.2;95;0.001;MSL;37.865;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;38A75805-DF79-4633-A40B-755F1F11881C
LECO-OBS-00214-001-2015;Vegetación/Vegetation;431217.2420N;0082823.6332W;0.2;95;0.001;WGE;386.959;0.2;95;0.001;MSL;30.365;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;9594CB6B-1E5F-42F6-A071-2096751FC07E
LECO-OBS-00215-001-2015;Vegetación/Vegetation;431217.3969N;0082820.7219W;0.2;95;0.001;WGE;387.42;0.2;95;0.001;MSL;34.52;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;E36A8D13-7447-4EED-AA09-03CFBF7C459B
LECO-OBS-00216-001-2015;Vegetación/Vegetation;431218.8137N;0082817.9771W;0.2;95;0.001;WGE;390.979;0.2;95;0.001;MSL;39.618;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;466B5744-E49A-4B7D-92DF-74290E1F451C
LECO-OBS-00217-001-2015;Vegetación/Vegetation;431222.9046N;0082808.4600W;0.2;95;0.001;WGE;384.87;0.2;95;0.001;MSL;40.278;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;3F3D13A3-4F15-41AD-8210-945004C71492
LECO-OBS-00219-001-2015;Vegetación/Vegetation;431219.3193N;0082832.7449W;0.2;95;0.001;WGE;423.161;0.2;95;0.001;MSL;37.867;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;D7300258-50A0-4EC8-BAE3-F34C459453C6
LECO-OBS-00220-001-2015;Vegetación/Vegetation;431232.2210N;0082806.2552W;0.2;95;0.001;WGE;369.962;0.2;95;0.001;MSL;20.651;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;8A546307-F21D-4F4F-8366-7160291641F4
LECO-OBS-00223-001-2015;Vegetación/Vegetation;431132.0849N;0082736.3415W;0.2;95;0.001;WGE;351.934;0.2;95;0.001;MSL;44.908;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;61FF3D87-C30E-4F06-AC9D-87C258F5FC6B
LECO-OBS-00224-001-2015;Vegetación/Vegetation;431125.6060N;0082807.7358W;0.2;95;0.001;WGE;372.072;0.2;95;0.001;MSL;42.405;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;3A85DE98-AD62-4D0B-B4E4-893B3A2B7D09
LECO-OBS-00225-001-2015;Vegetación/Vegetation;431135.0407N;0082822.5763W;0.2;95;0.001;WGE;396.861;0.2;95;0.001;MSL;26.394;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;8D1F7235-45FC-47FE-B70F-C2CC3BFD91D0
LECO-OBS-00226-001-2015;Chimenea/Chimney;431125.2467N;0082814.7637W;0.2;95;0.001;WGE;364.038;0.2;95;0.001;MSL;26.629;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;939B6EDE-794C-4855-A412-DE72C4A1175C
LECO-OBS-00226-002-2015;Antena/Antenna;431125.2034N;0082815.0943W;0.2;95;0.001;WGE;367.303;0.2;95;0.001;MSL;28.687;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Puntual/Point;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;9319A105-879D-48EE-A7D9-D618456B8497
LECO-OBS-00227-001-2015;Vegetación/Vegetation;431128.0122N;0082825.5994W;0.2;95;0.001;WGE;397.49;0.2;95;0.001;MSL;25.5;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;0F8F1552-1186-439A-90C2-B8FB58E48A70
LECO-OBS-00228-001-2015;Vegetación/Vegetation;431126.9378N;0082828.6302W;0.2;95;0.001;WGE;406.001;0.2;95;0.001;MSL;29.457;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;E9B6B122-58A0-4F5A-998D-09ECD8E6A5F7
LECO-OBS-00231-001-2015;Vegetación/Vegetation;431113.4862N;0082825.8118W;0.2;95;0.001;WGE;387.52;0.2;95;0.001;MSL;32.425;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;0EB18C5B-16D4-4B7A-96A7-41B31692EF63
LECO-OBS-00269-001-2015;Tendido Eléctrico/Transmission Line;431837.1524N;0082557.2613W;0.2;95;0.001;WGE;208.555;0.2;95;0.001;MSL;24.645;m;AENA;CONSULTOP;Radiación/Radiation;20151027;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;7DFED1CC-F2EA-45C0-A88D-2BA866F56BF8
LECO-OBS-00269-002-2015;Tendido Eléctrico/Transmission Line;431824.8315N;0082601.0587W;0.2;95;0.001;WGE;264.511;0.2;95;0.001;MSL;23.951;m;AENA;CONSULTOP;Radiación/Radiation;20151027;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;BEF6FFFB-9F64-443F-B119-48BC23C277A0
LECO-OBS-00269-003-2015;Tendido Eléctrico/Transmission Line;431820.1505N;0082601.6429W;0.2;95;0.001;WGE;257.802;0.2;95;0.001;MSL;24.242;m;AENA;CONSULTOP;Radiación/Radiation;20151026;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;E351C98D-4F54-4A8F-86D8-9D2533DCDF7F
LECO-OBS-00269-004-2015;Tendido Eléctrico/Transmission Line;431800.8086N;0082558.0902W;0.2;95;0.001;WGE;252.643;0.2;95;0.001;MSL;25.063;m;AENA;CONSULTOP;Radiación/Radiation;20151026;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;DFF358E1-E964-4409-86D0-0558D7DE51A6
LECO-OBS-00269-005-2015;Tendido Eléctrico/Transmission Line;431753.4222N;0082556.9631W;0.2;95;0.001;WGE;252.557;0.2;95;0.001;MSL;25.157;m;AENA;CONSULTOP;Radiación/Radiation;20150930;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;885B52F4-33CC-4B4D-9457-A7C2A672F7C5
LECO-OBS-00269-006-2015;Tendido Eléctrico/Transmission Line;431747.0993N;0082551.4692W;0.2;95;0.001;WGE;257.923;0.2;95;0.001;MSL;31.884;m;AENA;CONSULTOP;Radiación/Radiation;20150930;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;71805BD1-B680-4197-A8C1-2A2410D4288E
LECO-OBS-00269-007-2015;Tendido Eléctrico/Transmission Line;431732.6446N;0082538.8141W;0.2;95;0.001;WGE;259.9035;0.2;95;0.001;MSL;23.8435;m;AENA;CONSULTOP;Radiación/Radiation;20151026;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;BD74CBF9-D3DD-45F3-A2A6-BDF9A6494127
LECO-OBS-00269-008-2015;Tendido Eléctrico/Transmission Line;431656.6444N;0082508.1295W;0.2;95;0.001;WGE;188.843;0.2;95;0.001;MSL;24.578;m;AENA;CONSULTOP;Radiación/Radiation;20150930;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;90013208-72C4-45FA-A905-6CAF7394727A
LECO-OBS-00269-009-2015;Tendido Eléctrico/Transmission Line;431649.2134N;0082501.6986W;0.2;95;0.001;WGE;173.492;0.2;95;0.001;MSL;26.799;m;AENA;CONSULTOP;Radiación/Radiation;20150930;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;7F65C948-B2EA-46F7-9899-B94D92E3B1F6
LECO-OBS-00269-026-2015;Tendido Eléctrico/Transmission Line;431432.2875N;0082353.0391W;0.2;95;0.001;WGE;223.466;0.2;95;0.001;MSL;22.981;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;8ED6B4DD-4D75-4F5A-9A8A-FD564AF9037D
LECO-OBS-00269-027-2015;Tendido Eléctrico/Transmission Line;431427.0385N;0082351.1151W;0.2;95;0.001;WGE;249.848;0.2;95;0.001;MSL;23.276;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;508DFC13-A9B8-42B6-BE45-6882A889E780
LECO-OBS-00269-028-2015;Tendido Eléctrico/Transmission Line;431414.6886N;0082346.5985W;0.2;95;0.001;WGE;325.337;0.2;95;0.001;MSL;27.12;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;EA8EDB07-7769-49C6-90BB-04A7D75E692D
LECO-OBS-00269-029-2015;Tendido Eléctrico/Transmission Line;431407.2345N;0082343.8821W;0.2;95;0.001;WGE;383.588;0.2;95;0.001;MSL;24.481;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;D8EFECDB-34F6-4F6E-83F0-D0B8859821DD
LECO-OBS-00269-030-2015;Tendido Eléctrico/Transmission Line;431401.4750N;0082342.7327W;0.2;95;0.001;WGE;366.773;0.2;95;0.001;MSL;21.903;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;E2EF656D-8D75-4F79-A0E5-184D3C16059B
LECO-OBS-00272-001-2015;Tendido Eléctrico/Transmission Line;431657.8221N;0082342.4453W;0.2;95;0.001;WGE;138.489;0.2;95;0.001;MSL;12.879;m;AENA;CONSULTOP;Radiación/Radiation;20150128;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;57CC7502-D2BE-4D8A-BB29-71A669800ED1
LECO-OBS-00272-004-2015;Tendido Eléctrico/Transmission Line;431707.3748N;0082327.8011W;0.2;95;0.001;WGE;120.12;0.2;95;0.001;MSL;19.132;m;AENA;CONSULTOP;Radiación/Radiation;20150128;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;6C8CFB5D-3962-4D1F-ACCF-72169A247CFE
LECO-OBS-00272-005-2015;Tendido Eléctrico/Transmission Line;431708.5667N;0082325.5270W;0.2;95;0.001;WGE;120.723;0.2;95;0.001;MSL;17.535;m;AENA;CONSULTOP;Radiación/Radiation;20150128;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;7271B917-428B-422B-B0E0-253F5F135791
LECO-OBS-00273-001-2015;Tendido Eléctrico/Transmission Line;431707.4840N;0082319.3868W;0.2;95;0.001;WGE;119.13;0.2;95;0.001;MSL;12.63;m;AENA;CONSULTOP;Radiación/Radiation;20150128;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;97A98F9A-813C-434E-9D8D-9EF589EECA20
LECO-OBS-00273-002-2015;Tendido Eléctrico/Transmission Line;431708.2388N;0082320.6217W;0.2;95;0.001;WGE;112.68;0.2;95;0.001;MSL;10.636;m;AENA;CONSULTOP;Radiación/Radiation;20150128;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;BF4766B7-1425-433C-A9F7-ADB1C80E5D9F
LECO-OBS-00274-001-2015;Tendido Eléctrico/Transmission Line;431415.7185N;0082324.7434W;0.2;95;0.001;WGE;273.491;0.2;95;0.001;MSL;16.897;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;3058C2A8-90F8-4617-B666-9E340FBAF016
LECO-OBS-00274-002-2015;Tendido Eléctrico/Transmission Line;431412.7351N;0082320.7462W;0.2;95;0.001;WGE;265.347;0.2;95;0.001;MSL;17.066;m;AENA;CONSULTOP;Radiación/Radiation;20150210;No;No;No;Lineal/PolyLine;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;F68AC0FD-33CE-4F0D-8A79-81AE2A935CC5
LECO-OBS-00276-001-2015;Vegetación/Vegetation;431510.0623N;0082239.2819W;0.2;95;0.001;WGE;259.496;0.2;95;0.001;MSL;21.442;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;259F0FA5-669A-4B85-B3EA-BD8EDB4D7DE3
LECO-OBS-00278-001-2015;Vegetación/Vegetation;431700.7576N;0082336.6109W;0.2;95;0.001;WGE;129.152;0.2;95;0.001;MSL;17.216;m;AENA;CONSULTOP;Radiación/Radiation;20150128;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;03899EE1-CB7F-4868-92EE-BCC0F23FECCB
LECO-OBS-00281-001-2015;Vegetación/Vegetation;431509.7554N;0082239.8130W;0.2;95;0.001;WGE;262.178;0.2;95;0.001;MSL;24.464;m;AENA;CONSULTOP;Radiación/Radiation;20150211;No;No;No;Superficial/Polygon;Si/Yes;;AIRAC - 03/20;2020-03-12;2020-04-23;82B499A8-A954-47CD-9533-CA11A4155DF4
