Identificador_Identifier;Tipo_Type;Latitud_Latitude;Longitud_Longitude;ExactitudHorizontal_HorzAccuracy;NivelConfHoriz_HorzConfLevel;ResolucionHoriz_HorzResolution;SistRefHorizontal_HorzRefSyst;Elevacion_Elevation;ExactitudVertical_VertAccuracy;NivelConfVertical_VertConfLevel;ResolucionVert_VertResolution;SistRefVertical_VertRefSyst;Altura_Height;UnidadMedida_UOM;IdOriginador_OriginatorId;IdFuente_SourceId;TipoMedicion_MeasurementType;FechaMedicion_MeasurementDate;Señalizado_Marking;Iluminado_Lighting;Frangible_Frangibility;TipoGeometria_GeometryType;Integridad_Integrity;NotaIntegridad_IntegrityRemark;AMDT;PUB;WEF
LEPA-OBS-01864-001-2015;Antena/Antenna;393705.7539N;0024942.4447E;0.5;95;0.001;WGE;232.984;0.1;95;0.001;MSL;8.6;m;AENA S.A.;CONSULTOP;Intersección/Intersection;20151203;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02952-041-2015;Sistema Iluminación/Electrical Exit Light;393328.1755N;0024415.0129E;0.008;95;0.001;WGE;3.309;0.025;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03020-001-2015;Sistema Iluminación/Electrical Exit Light;393253.2520N;0024432.3447E;0.007;95;0.001;WGE;7.41;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02994-001-2015;Sistema Iluminación/Electrical Exit Light;393336.0905N;0024418.6438E;0.007;95;0.001;WGE;3.208;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01177-001-2015;Edificio/Building;393255.1708N;0024358.0330E;0.2;95;0.001;WGE;55.909;0.2;95;0.001;MSL;51.229;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;Si/Yes;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02976-031-2015;Sistema Iluminación/Electrical Exit Light;393300.2340N;0024423.9975E;0.008;95;0.001;WGE;8.231;0.029;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02946-002-2015;Sistema Iluminación/Electrical Exit Light;393247.8679N;0024238.5826E;0.016;95;0.001;WGE;4.731;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03021-009-2015;Sistema Iluminación/Electrical Exit Light;393236.7087N;0024354.0846E;0.011;95;0.001;WGE;7.672;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-033-2015;Obstáculo Móvil/Mobile Obstacle;393246.0955N;0024444.9587E;0.007;95;0.001;WGE;11.246;0.016;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151120;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00517-001-2015;Señal/Sign;393251.7262N;0024245.3430E;0.016;95;0.001;WGE;4.894;0.023;95;0.001;MSL;1.02;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03016-005-2015;Sistema Iluminación/Electrical Exit Light;393240.1841N;0024415.6483E;0.007;95;0.001;WGE;7.427;0.021;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02976-001-2015;Sistema Iluminación/Electrical Exit Light;393321.7202N;0024407.3780E;0.011;95;0.001;WGE;3.155;0.003;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02925-001-2015;Árbol/Tree;393149.9990N;0024741.9780E;0.2;95;0.001;WGE;102.142;0.2;95;0.001;MSL;13.082;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151201;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02963-001-2015;Sistema Iluminación/Electrical Exit Light;393242.3878N;0024243.1622E;0.008;95;0.001;WGE;3.756;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03552-001-2015;Poste-Mástil/Pole;393249.0831N;0024757.0457E;0.5;95;0.001;WGE;91.716;0.25;95;0.001;MSL;5.676;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02186-001-2015;Señal/Sign;393247.0307N;0024240.1268E;0.01;95;0.001;WGE;4.765;0.017;95;0.001;MSL;1.04;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02797-001-2015;Árbol/Tree;393324.3572N;0024916.2093E;0.2;95;0.001;WGE;133.701;0.2;95;0.001;MSL;16.841;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03023-007-2015;Sistema Iluminación/Electrical Exit Light;393322.8784N;0024535.8884E;0.01;95;0.001;WGE;2.731;0.018;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02984-008-2015;Sistema Iluminación/Electrical Exit Light;393259.8272N;0024311.4791E;0.012;95;0.001;WGE;4.398;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02199-001-2015;Señal/Sign;393256.4805N;0024312.3439E;0.008;95;0.001;WGE;4.104;0.018;95;0.001;MSL;0.78;m;AENA S.A.;CONSULTOP;GPS;20151126;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03652-001-2015;Antena/Antenna;393255.1679N;0024357.6750E;0.2;95;0.001;WGE;60.169;0.2;95;0.001;MSL;55.36;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131217;No;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02254-001-2015;Árbol/Tree;393549.7560N;0024452.3079E;0.2;95;0.001;WGE;86.3;0.2;95;0.001;MSL;14.238;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131220;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01672-003-2015;Edificio/Building;393250.7601N;0024313.7945E;0.2;95;0.001;WGE;14.13;0.2;95;0.001;MSL;11.46;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151125;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03002-002-2015;Sistema Iluminación/Electrical Exit Light;393256.5768N;0024426.9526E;0.011;95;0.001;WGE;8.574;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02017-001-2015;Señal/Sign;393325.2139N;0024541.1092E;0.011;95;0.001;WGE;2.682;0.024;95;0.001;MSL;0.85;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03020-002-2015;Sistema Iluminación/Electrical Exit Light;393253.1889N;0024433.9993E;0.008;95;0.001;WGE;6.941;0.015;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02301-001-2015;Señal/Sign;393304.8779N;0024417.8446E;0.006;95;0.001;WGE;7.119;0.009;95;0.001;MSL;0.789;m;AENA S.A.;CONSULTOP;GPS;20151123;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02239-001-2015;Señal/Sign;393242.7084N;0024414.6100E;0.006;95;0.001;WGE;8.168;0.011;95;0.001;MSL;1.05;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02949-010-2015;Sistema Iluminación/Electrical Exit Light;393247.4591N;0024241.5906E;0.01;95;0.001;WGE;4.425;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02947-007-2015;Sistema Iluminación/Electrical Exit Light;393246.2719N;0024239.6918E;0.009;95;0.001;WGE;4.42;0.003;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02226-001-2015;Señal/Sign;393253.8587N;0024426.6860E;0.007;95;0.001;WGE;8.667;0.011;95;0.001;MSL;0.83;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01441-001-2015;Árbol/Tree;393220.3791N;0024346.0817E;0.2;95;0.001;WGE;21.499;0.2;95;0.001;MSL;6.249;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00167-001-2015;Antena/Antenna;393243.8431N;0024210.6062E;0.5;95;0.001;WGE;18.445;0.5;95;0.001;MSL;10.5;m;AENA S.A.;CONSULTOP;Intersección/Intersection;20151203;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02993-005-2015;Sistema Iluminación/Electrical Exit Light;393333.1620N;0024418.7175E;0.014;95;0.001;WGE;3.283;0.025;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03025-002-2015;Sistema Iluminación/Electrical Exit Light;393324.8572N;0024536.1680E;0.016;95;0.001;WGE;2.892;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02992-009-2015;Sistema Iluminación/Electrical Exit Light;393325.7531N;0024403.6976E;0.011;95;0.001;WGE;3.139;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02982-001-2015;Sistema Iluminación/Electrical Exit Light;393316.8471N;0024407.6425E;0.011;95;0.001;WGE;3.822;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
